Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,DCF_Margin_of_Safety_%
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4940000000.0,35.73,167.68,-0.0341,174314.0,21.28,-59.46
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,39090000000.0,24.77,40.38,-0.0278,1360266.0,25.78,21.15
CRVL,Corvel Corp,Financial,Insurance Brokers,USA,3540000000.0,34.04,69.08,-0.022400000000000003,19284.0,16.55,-50.21
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,76880000000.0,41.55,192.25,-0.0085,217927.0,25.85,-56.07
IDT,IDT Corp,Communication Services,Telecom Services,USA,1190000000.0,14.8,47.62,-0.008100000000000001,16944.0,20.67,25.88
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,8900000000.0,18.8,382.51,-0.049400000000000006,64220.0,36.6,39.58
NFLX,Netflix Inc,Communication Services,Entertainment,USA,356810000000.0,33.44,84.51,-0.0139,14069374.0,24.72,-6.74
PCTY,Paylocity Holding Corp,Technology,Software - Application,USA,7700000000.0,35.43,141.54,-0.0274,51709.0,16.3,37.54
PGR,Progressive Corp,Financial,Insurance - Property & Casualty,USA,121760000000.0,11.38,207.64,-0.0017000000000000001,787285.0,24.57,50.01
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,59900000000.0,34.0,336.7,-0.011000000000000001,147137.0,24.88,-12.79
V,Visa Inc,Financial,Credit Services,USA,622670000000.0,32.23,325.62,-0.0087,2039599.0,16.83,-18.87
