Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Floor_Value
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4390000000.0,31.4,149.9949951171875,0.0025,83159.0,17.55,-176.28,-41.58,27.36,54.29115045097758,105.9440089286962,206.48527647316152,3.6850000000000005,0.2845243994955844,0.92,9.651186800310896
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,75730000000.0,40.93,189.25999450683594,-0.018000000000000002,1313799.0,25.23,-299.2,-144.78,-49.29,47.4093039891739,77.31755754875371,126.77282536776585,3.52,0.14743716965949782,1.0,1.9397995471523022
HLI,Houlihan Lokey Inc,Financial,Capital Markets,USA,9790000000.0,21.55,140.4199981689453,0.0003,156507.0,21.34,-236.93,-236.93,-236.93,41.67575586674017,41.67575586674017,41.67575586674017,4.965,-0.031673869134370536,1.0,7.767935759295766
IDT,IDT Corp,Communication Services,Telecom Services,USA,1190000000.0,14.58,47.369998931884766,-0.011899999999999999,52723.0,17.73,-56.08,20.02,58.96,30.35000540814487,59.225144747113745,115.4300324381853,2.06,0.4296939859130209,0.92,8.779014078857648
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,8070000000.0,16.1,349.25,-0.0196,74286.0,34.93,-52.94,21.63,59.79,228.36169117778908,445.6260891166324,868.5269431028505,15.5,0.4654010132131128,0.92,67.38759802618927
PLMR,Palomar Holdings Inc,Financial,Insurance - Property & Casualty,USA,3100000000.0,16.19,116.43800354003906,-0.023399999999999997,95854.0,20.15,-124.81,-15.2,40.89,51.79374471891755,101.07055951791504,196.98690503018184,3.805,0.5254193884425031,0.85,26.425520363720224
PRI,Primerica Inc,Financial,Insurance - Life,USA,7980000000.0,10.99,251.41000366210938,-0.0023,45228.0,20.31,-21.16,37.91,68.14,207.49606245968945,404.90880210299184,789.1687958015979,14.825,0.2391756401380145,0.874,61.80440333587851
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,59290000000.0,33.1,334.95001220703125,-0.0060999999999999995,275719.0,24.09,-172.34,-39.56,28.39,122.98862470164231,240.00058656491848,467.76205631345664,7.680000000000001,0.20743402271078204,1.0,6.706227234578856
ROL,"Rollins, Inc",Consumer Cyclical,Personal Services,USA,26310000000.0,50.27,54.68000030517578,-0.0207,737278.0,18.2,-360.54,-196.95,-90.34,11.872950937861203,18.41369958288502,28.72775971128352,0.925,0.13271785112236145,1.0,0.0
V,Visa Inc,Financial,Credit Services,USA,572650000000.0,28.47,299.6300048828125,-0.026000000000000002,2809763.0,16.19,-158.39,-66.05,-6.08,115.95852690471365,180.44737062421586,282.4666600588647,9.004999999999999,0.13370669304847693,1.0,0.0
