Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,GuruFocus_DCF_URL
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,5000000000.0,36.12,169.52,-0.0152,211788.0,20.3,https://www.gurufocus.com/stock/BMI/dcf
CRVL,Corvel Corp,Financial,Insurance Brokers,USA,3580000000.0,34.44,69.88,-0.0165,124190.0,17.24,https://www.gurufocus.com/stock/CRVL/dcf
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,77160000000.0,41.71,192.96,-0.0006,1403970.0,25.16,https://www.gurufocus.com/stock/CTAS/dcf
DOCS,Doximity Inc,Healthcare,Health Information Services,USA,7650000000.0,32.41,40.63,-0.0042,1626168.0,-2.62,https://www.gurufocus.com/stock/DOCS/dcf
FUBO,fuboTV Inc,Communication Services,Broadcasting,USA,849960000.0,6.92,2.48,-0.031200000000000002,8243013.0,-13.01,https://www.gurufocus.com/stock/FUBO/dcf
IDT,IDT Corp,Communication Services,Telecom Services,USA,1210000000.0,15.02,48.32,-0.0183,133171.0,19.11,https://www.gurufocus.com/stock/IDT/dcf
INMD,Inmode Ltd,Healthcare,Medical Devices,Israel,881770000.0,6.45,13.95,-0.0092,453240.0,7.47,https://www.gurufocus.com/stock/INMD/dcf
NFLX,Netflix Inc,Communication Services,Entertainment,USA,393520000000.0,34.08,86.12,0.030899999999999997,61151803.0,24.14,https://www.gurufocus.com/stock/NFLX/dcf
ODD,ODDITY Tech Ltd,Consumer Defensive,Household & Personal Products,Israel,2029999999.9999998,19.81,35.42,0.0108,597934.0,-2.9,https://www.gurufocus.com/stock/ODD/dcf
OSPN,OneSpan Inc,Technology,Software - Infrastructure,USA,452140000.0,8.06,11.89,-0.0318,271838.0,-2.3,https://www.gurufocus.com/stock/OSPN/dcf
PAYC,Paycom Software Inc,Technology,Software - Application,USA,8570000000.0,18.93,152.29,-0.0018,775155.0,17.16,https://www.gurufocus.com/stock/PAYC/dcf
PCTY,Paylocity Holding Corp,Technology,Software - Application,USA,7930000000.0,36.51,145.86,-0.0105,387755.0,16.76,https://www.gurufocus.com/stock/PCTY/dcf
PGR,Progressive Corp,Financial,Insurance - Property & Casualty,USA,120820000000.0,11.29,206.03,-0.0043,3944546.0,21.45,https://www.gurufocus.com/stock/PGR/dcf
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,60230000000.0,34.19,338.53,0.0029,870246.0,23.74,https://www.gurufocus.com/stock/RACE/dcf
RLI,RLI Corp,Financial,Insurance - Property & Casualty,USA,5230000000.0,13.05,56.97,-0.0049,1162551.0,6.53,https://www.gurufocus.com/stock/RLI/dcf
TTD,Trade Desk Inc,Communication Services,Advertising Agencies,USA,17680000000.0,41.7,36.55,-0.0073,6154555.0,28.36,https://www.gurufocus.com/stock/TTD/dcf
V,Visa Inc,Financial,Credit Services,USA,623730000000.0,32.29,326.18,-0.0006,5653797.0,16.35,https://www.gurufocus.com/stock/V/dcf
YELP,Yelp Inc,Communication Services,Internet Content & Information,USA,1740000000.0,12.48,28.28,-0.0302,1001796.0,2.7,https://www.gurufocus.com/stock/YELP/dcf
