Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Floor_Value
ADSK,Autodesk Inc,Technology,Software - Application,USA,46140000000.0,42.25,217.84500122070312,-0.0412,1100827.0,16.06,-271.05,-90.14,2.44,58.711054151192855,114.56903000837292,223.29547537192636,3.9850000000000003,0.317267512016699,0.92,0.0
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,34280000000.0,22.21,35.483001708984375,-0.0292,7974539.0,22.45,-114.63,-44.24,3.65,16.532102616886647,24.599713421561752,36.82580146109112,1.3399999999999999,0.12057146804226226,1.0,7.112615517052889
CRAI,CRA International Inc,Industrials,Consulting Services,USA,1050000000.0,19.31,160.8800048828125,-0.0363,102700.0,25.57,-167.42,-110.76,-65.44,60.16087157962483,76.33307738467994,97.24269877935414,5.68,0.07338238706999878,1.0,13.501631887641928
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,79220000000.0,42.82,198.41000366210938,-0.0096,534669.0,26.45,-318.8,-156.8,-56.62,47.37563260849978,77.26264451072191,126.68278784974902,3.5175,0.14743716965949782,1.0,1.9397995471523022
FTNT,Fortinet Inc,Technology,Software - Infrastructure,USA,55790000000.0,30.92,75.04000091552734,-0.0623,4477767.0,30.41,-173.83,-40.33,28.0,27.403402941334676,53.475130693995894,104.22323317234203,1.8599999999999999,0.3167495145145989,0.92,1.9644352420355817
IDT,IDT Corp,Communication Services,Telecom Services,USA,1240000000.0,15.4,49.4900016784668,-0.0012,48496.0,20.67,-63.06,16.44,57.13,30.35000540814487,59.225144747113745,115.4300324381853,2.06,0.4296939859130209,0.92,8.729173652005853
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,8700000000.0,17.27,374.44000244140625,0.0016,158565.0,35.58,-173.71,-40.26,28.03,136.8008237648151,266.95377743890833,520.2939278720966,10.05,0.39003133035494053,0.85,50.93771455202942
NFLX,Netflix Inc,Communication Services,Entertainment,USA,320860000000.0,30.07,76.06500244140625,-0.034,26894802.0,23.57,-224.1,-66.08,14.78,23.469688648143094,45.798861933083586,89.2621561524413,1.593,0.36489469824866827,0.92,0.0
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,63570000000.0,35.49,358.4713134765625,-0.022799999999999997,311435.0,26.29,-273.39,-91.34,1.82,96.00479232895128,187.34420787196436,365.13457390614235,5.995,0.23420115855534362,1.0,5.4367405206397565
V,Visa Inc,Financial,Credit Services,USA,582910000000.0,28.98,306.07000732421875,-0.0471,7402724.0,16.82,-163.95,-69.62,-8.36,115.95852690471365,180.44737062421586,282.4666600588647,9.004999999999999,0.13370669304847693,1.0,0.0
