Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,MOS_Bear_%,MOS_Base_%,MOS_Bull_%,Value_Bear,Value_Base,Value_Bull,EPS_Norm,EPS_CAGR_Proxy,Quality_Mult,Base_Discount_Rate,Discount_Rate,Floor_Value
CLMB,Climb Global Solutions Inc,Technology,Electronics & Computer Distribution,USA,380610000.0,17.79,20.28499984741211,-0.009399999999999999,35207.0,31.81,65.55,81.51,90.06,58.876533512374515,109.73162207753997,204.09826585089547,3.4349999999999996,0.18196301419934224,1.0,10.5,9.5,2.063229474353177
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,32490000000.000004,21.16,33.69499969482422,0.0195,591147.0,20.67,-73.07,-14.52,24.5,19.46883051832541,29.423755243688426,44.62730395239895,1.3399999999999999,0.12057146804226226,1.0,10.0,9.0,7.112615517052889
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,69550000000.0,36.67,173.6999969482422,-0.0165,280469.0,24.36,-209.98,-86.68,-12.23,56.03673741658094,93.04843105817838,154.77474440185694,3.52,0.14743716965949782,1.0,10.0,9.0,1.9486964599203103
HLI,Houlihan Lokey Inc,Financial,Capital Markets,USA,9950000000.0,21.91,142.78500366210938,0.0053,15648.0,22.09,-196.17,-196.17,-196.17,48.21054394119713,48.21054394119713,48.21054394119713,4.965,-0.031673869134370536,1.0,10.0,9.0,7.767935759295766
HLNE,Hamilton Lane Inc,Financial,Asset Management,USA,5590000000.0,17.99,99.71499633789062,-0.0059,32114.0,20.86,-86.92,-29.36,10.82,53.34771189120618,77.08481937484027,111.8117762384702,3.835,0.10774057687965066,1.0,10.0,9.0,10.282909721925797
IDT,IDT Corp,Communication Services,Telecom Services,USA,1200000000.0,14.65,47.689998626708984,0.0032,2626.0,17.57,-38.08,30.39,64.7,34.53859474271735,68.51177211437277,135.11577845587146,2.06,0.4296939859130209,0.92,10.0,9.5,8.728170063841336
KNSL,Kinsale Capital Group Inc,Financial,Insurance - Property & Casualty,USA,7660000000.0,15.28,331.68499755859375,0.011200000000000002,8737.0,33.81,-27.63,35.66,67.37,259.87777597675677,515.5011979479501,1016.6478476048587,15.5,0.4654010132131128,0.92,10.0,9.5,67.38759802618927
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,2770650000000.0,23.34,371.92999267578125,0.005600000000000001,6313868.0,22.92,-147.2,-63.23,-7.34,150.45789580501992,227.8497327054051,346.48617051961037,10.74,0.12226568954799855,1.0,10.5,9.5,21.6744637390638
PTC,PTC Inc,Technology,Software - Application,USA,17450000000.0,21.42,146.69000244140625,0.0218,62657.0,16.18,-258.07,-82.49,6.74,40.96646735143882,80.38248469549191,157.29151489792406,2.885,0.3232467390277567,0.85,10.5,10.5,0.0
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,57710000000.0,32.22,326.2699890136719,0.0103,60150.0,23.83,-143.58,-23.46,37.15,133.94864885793913,264.2669828383002,519.1543272675023,7.680000000000001,0.20743402271078204,1.0,11.0,10.0,6.706325551292554
ROL,"Rollins, Inc",Consumer Cyclical,Personal Services,USA,25830000000.0,49.35,53.709999084472656,0.0037,86184.0,17.69,-317.2,-166.76,-69.81,12.873860817449101,20.133952802565876,31.629684597039216,0.925,0.13271785112236145,1.0,11.0,10.0,0.0
TGLS,Tecnoglass Inc,Basic Materials,Building Materials,Colombia,1890000000.0,12.37,43.16999816894531,0.0084,22986.0,15.28,-33.68,-27.76,-22.08,32.29363893200323,33.78959118819024,35.362769461753416,3.425,0.014029884092318312,1.0,11.0,10.0,11.510276254729845
V,Visa Inc,Financial,Credit Services,USA,584880000000.0,29.08,305.79998779296875,0.0064,659839.0,16.01,-123.53,-41.25,11.0,136.80498283371546,216.4947507727366,343.59520585491924,9.004999999999999,0.13370669304847693,1.0,10.0,9.0,0.0
